Nombre,Simbolo,Precio_Bs,Variacion
"BCO. CARIBE ""A""",ABC.A,"1490,0000",-10
"ARCA INM.VAL.""A""",ARC.A,"2000,0000",0
"ARCA INM.VAL.""B""",ARC.B,"1540,0200",255.57
BCO.NAC.CREDITO,BNC,"1600,0000",49
BCO. PROVINCIAL,BPV,"139,9900",16.99
BOLSA V. CCAS.,BVCC,"589,9900",-9.01
B.DE VENEZUELA,BVL,"1935,0000",35
"C.CAPITAL ""B""",CCP.B,"335,0300",5.03
CR.CARABOBO,CCR,"7199,0000",1198.99
CORP.GPO.QUIM.,CGQ,"2670,0000",0
CORIMON C.A.,CRM.A,"555,0000",-28
DOMINGUEZ & CIA,DOM,"660,0000",60
PRODUCTOS EFE,EFE,"100,0000",-5
ENVASES VZLOS.,ENV,"759,0000",-20
FAB.N.CEMENTOS,FNC,"1699,0000",-1
F.NAC. VIDRIO,FNV,"100,0000",12
G.MANTRA CLASE B,GMC.B,"5700,0000",499.97
GRUPO ZULIANO,GZL,"850,0000",0
I.CRECEPYMES -B-,ICP.B,"100,0000",-15.3
"INVACA I. C. ""A""",IVC.A,"900,0000",34.99
"INVACA I. C. ""B""",IVC.B,"510,0000",0
"MANPA, C.A. SACA",MPA,"112,0000",8
"MONTESCO  ""B""",MTC.B,"248,9800",-8.02
MERCANTIL S.(A),MVZ.A,"6500,0000",-199
MERCANTIL S.(B),MVZ.B,"5698,0000",-52
"F.PETROLIA ""B""",PCP.B,"300,0000",-35
PROAGRO,PGR,"103,0000",5
"PIVCA CLASE ""B""",PIV.B,"50.000,0000",0
PROTINAL,PTN,"540,0000",-45
RON STA. TERESA,RST,"555,0000",-4.99
"R.S.TERESA ""B""",RST.B,"365,0000",10
"SIVENSA, S.A.",SVS,"949,0000",-21
CANTV CLASE (D),TDV.D,"860,0000",31
T. PALO GRANDE,TPG,"12,4400",-0.11
